trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,6.998727900907397,7.512656901031733,7.512656901031733,7.531155100092292,7.814224300906062,left,-10.0,1,1,0.3331492990255356,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
1,2,8.0,7.864416100084782,8.347532499581575,8.347532499581575,8.365026500076056,8.648950001224875,right,8.0,1,1,0.949396500363946,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
2,2,6.0,9.31647640094161,9.817250100895762,9.817250100895762,9.817250100895762,10.11652160063386,left,-6.0,1,1,0.9783095996826887,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
3,1,4.0,10.830551600083709,11.31723640114069,11.31723640114069,11.333678299561143,11.617122100666165,left,-4.0,0,0,0.439563499763608,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
4,1,5.0,11.797440201044083,12.284264201298356,12.284264201298356,12.30071660131216,12.58419569954276,left,-5.0,1,1,0.4540279991924763,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
5,1,5.0,12.76752440072596,13.267812199890614,13.267812199890614,13.267812199890614,13.56798299960792,right,5.0,1,1,0.36955790035426617,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
6,1,5.0,13.667815299704671,14.151977499946952,14.151977499946952,14.168711699545383,14.452119501307607,left,-5.0,1,1,0.5198295991867781,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
7,1,4.0,14.702049700543284,15.202580999583006,15.202580999583006,15.202580999583006,15.502506900578737,right,4.0,1,1,0.3767189998179674,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
8,1,4.0,15.60235490091145,16.102802399545908,16.102802399545908,16.102802399545908,16.402739100158215,left,-4.0,1,1,0.4472027011215687,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
9,0.5,4.0,16.569624200463295,17.06988999992609,17.06988999992609,17.06988999992609,17.369966400787234,left,-4.0,0,0,0.39513109996914864,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
10,0.5,4.5,17.50038710050285,17.986915400251746,17.986915400251746,18.003692800179124,18.286796299740672,left,-4.5,1,1,0.4116130005568266,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
11,0.5,4.5,18.420242600142956,18.920580100268126,18.920580100268126,18.920580100268126,19.22047260031104,left,-4.5,0,0,0.4144037012010813,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
12,0.5,5.0,19.354044400155544,19.85424830019474,19.85424830019474,19.85424830019474,20.15423689968884,right,5.0,1,1,0.5399433989077806,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
13,0.5,5.0,20.42111979983747,20.921172700822353,20.921172700822353,20.921172700822353,21.221171701326966,right,5.0,0,0,0.6489674001932144,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
14,0.5,5.5,21.588307300582528,22.088501799851656,22.088501799851656,22.088501799851656,22.388356300070882,left,-5.5,1,1,0.6223729997873306,143413,001,2023-09-07_13h07.32.040,Lab experiment 1,2023.1.3,59.50829496804112,
